FLD Number;Tag Name;Title;Unit;SubUnit;Protected;Drawing Number;FLD Type;Execution Environment;Author;Revision;Design Date;Parent Asset;Item Name;Point Detail Display;Group Detail Display;Associated Display
1766;FGS_001_2_FLD1766;H-2004-Logic;;;ЛОЖЬ;;Program block;FGS_001_2;;;20.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1422;FGS_001_2_FLD1422;5800#1 Howlers & Beacon;;;ЛОЖЬ;;Program block;FGS_001_2;;;15.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1752;FGS_001_2_FLD1752;H-2003-Ready to Reset;;;ЛОЖЬ;;Program block;FGS_001_2;;;20.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1806;FGS_001_2_FLD1806;H-2005B-Logic;;;ЛОЖЬ;;Program block;FGS_001_2;;;20.03.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
358;FGS_001_2_FLD0358;2000#2 DV 58XV093-Sh1;;;ЛОЖЬ;;Program block;FGS_001_2;;;07.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2481;FGS_001_2_FLD2481;DV ABB - Pressure Switch;;;ЛОЖЬ;;Function block;FGS_001_2;;;07.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
807;FGS_001_2_FLD0807;2000#4 FDs voting-Sh7;;;ЛОЖЬ;;Program block;FGS_001_2;;;31.08.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
21;FGS_001_2_FLD0021;Common System Faults-Sh2;;;ЛОЖЬ;;Program block;FGS_001_2;;;29.09.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
528;FGS_001_2_FLD0528;2000#3 DV 20XV486-Sh3;;;ЛОЖЬ;;Program block;FGS_001_2;;;09.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
1150;FGS_001_2_FLD1150;CH-20-2 MOS Lamp Control;;;ЛОЖЬ;;Program block;FGS_001_2;;;16.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
268;FGS_001_2_FLD0268;2000#2 Fire detector 20YT420;;;ЛОЖЬ;;Program block;FGS_001_2;;;02.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
2465;FGS_001_2_FLD2465;BINARY CODING FUNCTION;;;ЛОЖЬ;;Function block;FGS_001_2;;;10.04.2009;;;Sysdtlsmflda;Sysdtlsmflda_fp;
250;FGS_001_2_FLD0250;2000#2 Fire detector 20YT409;;;ЛОЖЬ;;Program block;FGS_001_2;;;02.10.2008;;;Sysdtlsmflda;Sysdtlsmflda_fp;
