PointType;TagNumber;NewTagNumber;Location;Unit;SubUnit;Description;SafetyRelated;ForceEnable;WriteEnable;SIL;FLDNumber;Scaling;DataType;SignalType;BottomScale;TopScale;EngineeringUnits;PowerUpValue;TimerBase;TimerValue;Range;ApplicationAddress;SOEEnable;SOEID;AlarmPriority;AlarmPriorityLow;AlarmPriorityHigh;AlarmPriorityLowLow;AlarmPriorityHighHigh;State0Text;State1Text;NormalState;AlarmLimitLow;AlarmLimitHigh;AlarmLimitLowLow;AlarmLimitHighHigh;BlockName;PVFormat;TransmitterAlarmLow;TransmitterAlarmHigh;TimerType;ChassisID/IOTAName;SlotNumber;ChannelNumber;NumberOfChannels;FaultReaction;FaultReactionValue;FieldInputDevice;LoopMonitoringEnable;HartEnable;TestEnable;SmokeHeatPowerInterruption;TransitTime;LowLatencySOE;AccessLock;ComAllocationType1;Master1;Slave1;PLCAddress1;ComAllocationType2;Master2;Slave2;PLCAddress2;ComAllocationType3;Master3;Slave3;PLCAddress3;ComAllocationType4;Master4;Slave4;PLCAddress4;ComAllocationType5;Master5;Slave5;PLCAddress5;ComAllocationType6;Master6;Slave6;PLCAddress6
M;1610_1636_1;;;;;41GT033_MOC_FL;;ЛОЖЬ;ЛОЖЬ;;1636;;;;;;;0;;;;2614;ЛОЖЬ;0;;;;;;;1=CONFIRMED;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;42GT031_B1;;COM;;;Bit 1;No;ЛОЖЬ;ЛОЖЬ;;1814;;;;;;;0;;;;3283;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_411_1;1815;;;;;;;;;;;;;;;;
M;2012_3;;;;;;;ЛОЖЬ;ЛОЖЬ;;2012;;;;;;;0;;;;2236;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C162_2_E;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;162;;;;;;;0;;;;6908;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;752_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;752;;;;;;;0;;;;7348;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DO;41XV240AL_B1;;COM;;;Bit 1;No;ЛОЖЬ;ЛОЖЬ;;2128;;;;;;;0;;;;443;ЛОЖЬ;0;None;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;Output;EPKS_CCB;FGS_411_1;1395;;;;;;;;;;;;;;;;
M;510_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;510;;;;;;;0;;;;334;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C322_4_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;322;;;;;;;0;;;;6714;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;456_458_1;;;;;4200_RR_FL_1;;ЛОЖЬ;ЛОЖЬ;;458;;;;;;;0;;;;1250;ЛОЖЬ;0;;;;;;;1=READY;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DI;41GT032_MOR;;COM;;;MO REQUEST;No;ЛОЖЬ;ИСТИНА;;962;;;;;;;0;;;;4432;ЛОЖЬ;0;None;;;;;;1=REQUEST;;;;;;;Undefined;491;3428;;;;;;Freeze;;;;ЛОЖЬ;;;;ЛОЖЬ;;;;;;Input;EPKS_CCB;FGS_411_1;113;;;;;;;;;;;;;;;;
M;C1828_4_B;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;1828;;;;;;;0;;;;5177;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;1155_1;;;;;;;ЛОЖЬ;ЛОЖЬ;;1155;;;;;;;;1 s;30;;100;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;Delayed OFF with constant timer value;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
M;C420_7_D;;;;;Function block marker;;ЛОЖЬ;ЛОЖЬ;;420;;;;;;;0;;;;6636;ЛОЖЬ;0;;;;;;;;;;;;;;Undefined;491;3428;;;;;;;;;;ЛОЖЬ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
