ID;PROP_ID;COMP_ID;LiquidViscosityA;LiquidViscosityB;LiquidViscosityC;LiquidViscosityD;LiquidViscosityTmin;LiquidViscosityTmax
20693;16963;20696;-12321;-12321;-12321;-12321;-12321;-12321
20694;19410;20697;-12321;-12321;-12321;-12321;-12321;-12321
20695;16719;20698;-12321;-12321;-12321;-12321;-12321;-12321
20696;10159;20699;-12321;-12321;-12321;-12321;-12321;-12321
20697;16971;20700;-12321;-12321;-12321;-12321;-12321;-12321
20698;17326;20701;-12321;-12321;-12321;-12321;-12321;-12321
20699;16733;20702;-12321;-12321;-12321;-12321;-12321;-12321
20700;17331;20703;-12321;-12321;-12321;-12321;-12321;-12321
20701;17347;20704;-12321;-12321;-12321;-12321;-12321;-12321
20702;15059;20705;-12321;-12321;-12321;-12321;-12321;-12321
20703;17233;20706;-12321;-12321;-12321;-12321;-12321;-12321
20704;16760;20707;-12321;-12321;-12321;-12321;-12321;-12321
20705;19423;20708;-12321;-12321;-12321;-12321;-12321;-12321
20706;10051;20709;-34.491219;4338.5894;6.0405001E-2;-4.9999999E-5;346.06104;394.66852
20707;9217;20710;-12321;-12321;-12321;-12321;-12321;-12321
20708;9019;20711;-12321;-12321;-12321;-12321;-12321;-12321
20709;16723;20712;-12321;-12321;-12321;-12321;-12321;-12321
20710;16972;20713;-12321;-12321;-12321;-12321;-12321;-12321
20711;12090;20714;-12321;-12321;-12321;-12321;-12321;-12321
20712;11153;20715;-12321;-12321;-12321;-12321;-12321;-12321
20713;16741;20716;-12321;-12321;-12321;-12321;-12321;-12321
20714;14006;20717;-12321;-12321;-12321;-12321;-12321;-12321
20715;16739;20718;-12321;-12321;-12321;-12321;-12321;-12321
20716;16798;20719;-12321;-12321;-12321;-12321;-12321;-12321
20717;14339;20720;-12321;-12321;-12321;-12321;-12321;-12321
20718;11414;20721;-12321;-12321;-12321;-12321;-12321;-12321
20719;10156;20722;-12321;-12321;-12321;-12321;-12321;-12321
20720;16970;20723;-12321;-12321;-12321;-12321;-12321;-12321
20721;16965;20724;-12321;-12321;-12321;-12321;-12321;-12321
20722;10167;20725;-12321;-12321;-12321;-12321;-12321;-12321
20723;10932;20726;-12321;-12321;-12321;-12321;-12321;-12321
20724;9086;20727;-12321;-12321;-12321;-12321;-12321;-12321
20725;17287;20728;-12321;-12321;-12321;-12321;-12321;-12321
20726;9543;20729;-12321;-12321;-12321;-12321;-12321;-12321
20727;9423;20730;-12321;-12321;-12321;-12321;-12321;-12321
20728;18884;20731;-12321;-12321;-12321;-12321;-12321;-12321
20729;18137;20732;-12321;-12321;-12321;-12321;-12321;-12321
20730;10499;20733;-12321;-12321;-12321;-12321;-12321;-12321
20731;18138;20734;-12321;-12321;-12321;-12321;-12321;-12321
20732;7856;20735;-12321;-12321;-12321;-12321;-12321;-12321
20733;7904;20736;-76.027351;9579.1309;0.171581;-1.5000001E-4;234.28;492.03201
20734;14518;20737;-12321;-12321;-12321;-12321;-12321;-12321
20735;9214;20738;-12321;-12321;-12321;-12321;-12321;-12321
20736;13343;20739;-12321;-12321;-12321;-12321;-12321;-12321
20737;8993;20740;-12321;-12321;-12321;-12321;-12321;-12321
20738;16594;20741;-12321;-12321;-12321;-12321;-12321;-12321
20739;16761;20742;-12321;-12321;-12321;-12321;-12321;-12321
20740;13528;20743;-31.969217;5528.145;3.8226001E-2;-2.3000001E-5;273.00012;791
20741;17352;20744;-12321;-12321;-12321;-12321;-12321;-12321
20742;17191;20745;-12321;-12321;-12321;-12321;-12321;-12321
20743;13671;20746;-12321;-12321;-12321;-12321;-12321;-12321
20744;17244;20747;-12321;-12321;-12321;-12321;-12321;-12321
20745;17059;20748;-12321;-12321;-12321;-12321;-12321;-12321
20746;10446;20749;-12321;-12321;-12321;-12321;-12321;-12321
20747;16991;20750;-12321;-12321;-12321;-12321;-12321;-12321
20748;10520;20751;-12321;-12321;-12321;-12321;-12321;-12321
20749;16728;20752;-12321;-12321;-12321;-12321;-12321;-12321
20750;13686;20753;-12321;-12321;-12321;-12321;-12321;-12321
20751;5680;20754;-12321;-12321;-12321;-12321;-12321;-12321
20752;9812;20755;-12321;-12321;-12321;-12321;-12321;-12321
20753;11022;20756;-12321;-12321;-12321;-12321;-12321;-12321
20754;6885;20757;-12321;-12321;-12321;-12321;-12321;-12321
20755;9445;20758;-12321;-12321;-12321;-12321;-12321;-12321
20756;8930;20759;-12321;-12321;-12321;-12321;-12321;-12321
