ID;PROP_ID;COMP_ID;Antoine5LogA;Antoine5LogB;Antoine5LogC;Antoine5LogD;Antoine5LogE;Antoine5LogTmin;Antoine5LogTmax
35569;228;35572;233.8889;-8771.5996;-90.496002;0.07519;-2.4999999E-5;313.14999;577.34003
35570;5223;35573;0.638403;-1971.6;2.6530001;-2.2809999E-3;0.000001;266.45001;412.64999
35571;5224;35574;65.579506;-3338.5;-23.318001;0.015153;0;172;372.14999
35572;81;35575;76.356201;-3791.3999;-27.836;0.023358;-0.000008;234.94;579.34998
35573;5034;35576;-36.297497;-2377.2;19.025;-2.0819001E-2;7.0000001E-6;454.14999;854
35574;5295;35577;581.04523;-40634;-208.47;9.8995999E-2;-1.8000001E-5;661;1237
35575;5277;35578;-12.720297;-13744;6.4004002;-0.000979;0;1096;2995
35576;5290;35579;-195.7493;-8273.2998;68.261002;-0.017329;0.000002;1508;3442
35577;5291;35580;65.032204;-4018.7;-22.002001;0.010422;0;249.05;638
35578;1595;35581;79.525002;-3983.8999;-29.205;2.5017999E-2;-9.0000003E-6;178.17999;591.78998
35579;1595;35582;79.525002;-3983.8999;-29.205;2.5017999E-2;-9.0000003E-6;178.17999;591.78998
35580;2296;35583;152.4593;-8295.7998;-55.435001;3.5640001E-2;-9.0000003E-6;287.04001;737
35581;1628;35584;133.4346;-8376.9004;-47.118999;0.026779;-6.0000002E-6;371.25;804
35582;5528;35585;4.9846792;-2231.8682;0;0;0;517.15002;749.21002
35583;3765;35586;53.281803;-3834.7;-18.120001;0.012129;-3.0000001E-6;203.14999;743.15002
35584;3772;35587;77.528305;-4994.8999;-27.349001;0.019723;-6.0000002E-6;203;644
35585;4758;35588;8.553503;-4446.8999;0;0;0;568.21002;729.15002
35586;4513;35589;71.318604;-6964.5;-23.309;0.014244;-0.000004;427.75;565.84998
35587;5588;35590;448.16861;-24650;-161.94;8.2826003E-2;-0.000017;495.64001;772.79999
35588;4752;35591;7.8602028;-4444.3999;0;0;0;631.56;809.15002
35589;4857;35592;866.10779;-44332;-315.32001;0.15919;-0.000032;505.59;821.15002
