ID;PROP_ID;COMP_ID;RackettLiquidDensityA;RackettLiquidDensityB;RackettLiquidDensityN;RackettLiquidDensityTc;RackettLiquidDensityTmin;RackettLiquidDensityTmax
29571;2510;29574;271.16;0.28977001;0.29339001;610.04999;240.12;610.04999
29572;894;29575;317.57001;0.26054001;0.28571001;500.25;179.14999;500.25
29573;915;29576;674.17999;0.26921999;0.28571001;752.98999;264.14999;752.98999
29574;1473;29577;301.09;0.24744;0.28571001;634.56;321.64999;634.56
29575;1882;29578;290.88;0.24629;0.28571001;644.63;292.20999;644.63
29576;1423;29579;271.75;0.26273999;0.28571001;587.59998;220.12;587.59998
29577;1232;29580;252.73;0.28406;0.29910001;480;157.95;480
29578;1180;29581;254.71001;0.28712001;0.28571001;491.14999;194.95;491.14999
29579;2204;29582;264.97;0.24999;0.28571001;616.63;242.66;616.63
29580;2072;29583;247.44;0.26901001;0.28571001;555.62;180.08;555.62
29581;1833;29584;266.82999;0.25275999;0.28571001;604.20001;231.39;604.20001
29582;1721;29585;247.00999;0.27017;0.28571001;527.73999;138.77;527.73999
29583;1668;29586;254.09;0.27522001;0.28571001;528.90997;217.53999;528.90997
29584;1425;29587;273.20001;0.25885001;0.28571001;566.40002;278.45001;566.40002
29585;1266;29588;268.53;0.25939;0.28571001;571.5;221.14999;571.5
29586;2262;29589;268.23999;0.24969;0.28571001;609.22998;227.66;609.22998
29587;2126;29590;246.89999;0.26433;0.28571001;568.21997;166.12;568.21997
29588;2215;29591;268.23999;0.24717;0.28571001;591.47998;227.66;591.47998
29589;1839;29592;270.56;0.25497001;0.28571001;582.96997;216.39;582.96997
29590;1748;29593;270.26999;0.26038;0.28571001;589.07001;220.5;589.07001
29591;1052;29594;281.67001;0.26964;0.28571001;585;190.83;585
29592;1502;29595;285.26999;0.27871001;0.28571001;602.51001;193.7;602.51001
29593;3723;29596;248.49001;0.2456;0.28571001;669.75;229.34;669.75
29594;3222;29597;246.35001;0.25567999;0.28571001;630.56;200.64999;630.56
29595;3527;29598;246.69;0.25556999;0.28571001;645.28998;211.92;645.28998
29596;2568;29599;266.39999;0.241;0.28571001;604.73999;238.92999;604.73999
29597;3618;29600;248.85001;0.25663999;0.28571001;643.65002;196.92;643.65002
29598;3605;29601;246.69;0.2554;0.28571001;642.54999;211.92;642.54999
29599;3223;29602;246.35001;0.26030001;0.28571001;623.59998;200.64999;623.59998
29600;3528;29603;246.69;0.25961;0.28571001;635.70001;211.92;635.70001
29601;3529;29604;246.69;0.26018;0.28571001;642.54999;211.92;642.54999
29602;1260;29605;265.32999;0.25040001;0.28571001;558.82001;201.3;558.82001
29603;1211;29606;251.39;0.25421;0.28571001;598.53998;306.14999;598.53998
29604;1982;29607;275.14999;0.27283999;0.28571001;599.77002;159.44;599.77002
29605;1649;29608;272.82999;0.27713999;0.28571001;559.34998;127.87;559.34998
29606;3411;29609;244.56;0.26188001;0.28571001;648.37;226.92;648.37
29607;2168;29610;255.13;0.29012999;0.2568;562;147.05;562
29608;3148;29611;244.05;0.26225999;0.28571001;629.38;215.64999;629.38
29609;2822;29612;228.3;0.243;0.28571001;612.09998;219.16;612.09998
29610;1810;29613;247.92999;0.2701;0.30840001;536.40002;138.7;536.40002
29611;1273;29614;302.14001;0.28363001;0.28571001;573.90002;154.45;573.90002
29612;1791;29615;322.01001;0.29254001;0.28571001;657.02002;282.88;657.02002
29613;1310;29616;326.01999;0.28885999;0.28571001;623.17999;275.13;623.17999
29614;5777;29617;417.43082;0.25948501;0.28339499;642;292.14899;642
29615;15543;29618;264.51852;0.236716;0.271312;722;110;722
29616;14709;29619;275.8154;0.232319;0.27054301;814;385.79999;814
29617;18014;29620;413.24506;0.25046501;0.28101999;635;110;635
29618;18013;29621;390.29416;0.25162101;0.28061;658;110;658
29619;14054;29622;278.43484;0.253795;0.282619;726;110;726
29620;11735;29623;266.1153;0.24651299;0.28619599;640;100;640
29621;17013;29624;262.181;0.25669101;0.28429699;606;110;606
29622;15619;29625;259.56647;0.244536;0.28643399;672;100;672
29623;6759;29626;335.2872;0.26479599;0.28599799;497;137.89999;497
29624;13743;29627;-12321;-12321;-12321;-12321;-12321;-12321
29625;12946;29628;276.64932;0.25885099;0.28530699;592;110;592
29626;15573;29629;253.68457;0.244838;0.27202299;707;110;707
29627;15071;29630;264.39365;0.23831201;0.27092299;694;110;694
29628;11932;29631;247.7708;0.26609501;0.29322499;587;110;587
29629;15088;29632;264.46817;0.240062;0.27261201;682;110;682
29630;12413;29633;264.85284;0.24244;0.273873;670;110;670
29631;16421;29634;264.56891;0.23813801;0.26309401;683;110;683
29632;5763;29635;287.94611;0.25008401;0.28443801;509.79999;110;509.79999
29633;17420;29636;289.03262;0.227245;0.28645301;676;100;676
29634;19215;29637;298.48331;0.243894;0.28180701;716;110;716
29635;16371;29638;250.16193;0.260445;0.27948001;622.59998;210.3;622.59998
29636;16341;29639;250.87875;0.26222599;0.28782299;618;110;618
29637;16055;29640;262.62622;0.25250399;0.271191;658;110;658
29638;15527;29641;270.99225;0.24676;0.276391;637;110;637
29639;13299;29642;266.1153;0.246507;0.286226;640;100;640
29640;12455;29643;267.94574;0.25887299;0.28424299;620;110;620
29641;15785;29644;248.91937;0.265365;0.28769499;583.09998;195;583.09998
29642;10855;29645;293.31906;0.256421;0.28450099;849;110;849
29643;19314;29646;304.25696;0.24665;0.27436;687;110;687
29644;15695;29647;272.37344;0.25797799;0.280487;716;252.00999;716
29645;16863;29648;293.28769;0.227654;0.286443;734;317.60001;734
29646;18635;29649;263.2135;0.24696399;0.281183;696;110;696
29647;11092;29650;260.3924;0.241402;0.27121601;683;110;683
