ID;PROP_ID;COMP_ID;EnthalpyOfVapourizationA;EnthalpyOfVapourizationB;EnthalpyOfVapourizationN;EnthalpyOfVapourizationTmin;EnthalpyOfVapourizationTmax
37309;14301;37312;56851.496;666;0.38525999;200;666
37310;9666;37313;57204.707;671;0.39000201;239.2;671
37311;14167;37314;73394.977;739;0.424005;200;739
37312;10245;37315;62195.086;665;0.37266299;200;665
37313;11922;37316;62717.105;624;0.404062;200;624
37314;11923;37317;62717.105;624;0.404062;200;624
37315;19129;37318;63386.145;624;0.405487;200;624
37316;6049;37319;58107.441;650;0.411163;155.2;650
37317;13640;37320;-12321;-12321;-12321;-12321;-12321
37318;13480;37321;74811.375;675;0.40893599;200;675
37319;8658;37322;64803.125;713;0.39283901;200;713
37320;12784;37323;56584.172;648;0.37165701;200;648
37321;12489;37324;53857.535;503;0.434457;200;503
37322;6640;37325;56899.352;501;0.45293301;200;501
37323;8950;37326;58282.387;622;0.37708101;200;622
37324;6029;37327;84275.719;722;0.411219;298.48999;722
37325;16547;37328;71759.773;691;0.39621601;200;691
37326;9403;37329;57927.566;693;0.36515501;200;693
37327;16548;37330;67722.148;779;0.39896399;200;779
37328;18727;37331;-12321;-12321;-12321;-12321;-12321
37329;8172;37332;94181.82;724;0.41210499;200;724
37330;8173;37333;94181.82;724;0.41210499;200;724
37331;14354;37334;78425.258;665;0.40356901;200;665
37332;11507;37335;99780.414;759;0.41791099;347.10001;759
37333;12315;37336;74203.594;677;0.391992;200;677
37334;10731;37337;67007.156;663;0.373537;200;663
37335;14176;37338;82584.469;661;0.410752;200;661
37336;12882;37339;82828.125;661;0.41145301;200;661
37337;11697;37340;-12321;-12321;-12321;-12321;-12321
37338;9980;37341;79464.797;687;0.394012;200;687
37339;9628;37342;62520.246;645;0.39302999;200;645
37340;8363;37343;73856.031;696;0.38646099;200;696
37341;8607;37344;54258.848;672;0.365554;189.68401;672
37342;13071;37345;55676.516;672;0.37416199;200;672
37343;13852;37346;55683.355;674;0.37428999;200;674
37344;5771;37347;220515.67;973;0.49640799;200;973
37345;19066;37348;78284.508;673;0.40064701;200;673
37346;11129;37349;76622.164;660;0.40281901;200;660
37347;11128;37350;76622.164;660;0.40281901;200;660
37348;9643;37351;79615.188;668;0.410871;200;668
37349;9958;37352;79615.188;668;0.410871;200;668
37350;8139;37353;73679.922;652;0.392454;310.89999;652
37351;7872;37354;73673.133;652;0.39233199;330.10001;652
37352;18960;37355;79850.25;671;0.42084;200;671
37353;11125;37356;77645.773;659;0.404614;200;659
37354;11127;37357;77645.773;659;0.404614;200;659
37355;13985;37358;80654.672;667;0.411731;200;667
37356;13986;37359;80654.672;667;0.411731;200;667
37357;18672;37360;79850.25;671;0.42084;200;671
37358;11642;37361;85287.984;671;0.420564;364.60001;671
37359;11641;37362;85110.492;671;0.41823199;342.60001;671
37360;11973;37363;80654.672;667;0.411731;200;667
37361;11974;37364;80654.672;667;0.411731;200;667
37362;12415;37365;75971.188;645;0.412496;200;645
37363;18998;37366;64719.559;685;0.43119901;200;685
37364;8237;37367;91657.164;851;0.406569;200;851
