ED#Точка;ED#Alt;TypeDV#Тип;ST#Описание;LE,Objects#Модель;LS,Type#ТипМодели;Points#ACS;ED#Формула;ST#EngUnit
30PI065;PLC=10462/FLD=311(FLD);AI;INJECTION C-3001S;P065;M;Показания;;
30TI058A;PLC=10459/FLD=300(FLD);AI;INJECTION C-3001A;T058;M;Показания;;
30HS943B;PLC=1369/FLD=797(FLD);DI;FUEL OIL SUPPLY CLOSE;30HS943B;HS->RSU;;;
30XL121_ON;PLC=19/FLD=234(FSC);DO;GROUP SD AT FIRE - N. 03;;;;;
30HS118AA;PLC=1333/FLD=231(FLD);DI;SD AT FIRE P-3021 - T.02;30HS118A;HS->RSU;;#0;
30LI063;PLC=10469/FLD=554(FLD);AI;V3017 FUEL GAS SEPARATOR;V-3017;M;Уровень;#ScaleN(0,90,0,105.3);
30XL906B;PLC=1481/FLD=1176(LCP);DO;1ST BLOCK VALVE CLOSE;30XL906B;RSU->HS;;;
30PI943;PLC=10467/FLD=518(FLD);AI;COMBUSTION AIR;P944;M;Показания;;
30PI162A;PLC=10116/FLD=563(FLD);AI;OUTLET FROM H3001 COIL 2;P162;M;Показания;;
30XY909;PLC=1280/FLD=1130(FLD);DO;PILOT FUEL GAS;XV-909;M;Соленоид;#0;
30TI158C;PLC=10152/FLD=526(FLD);AI;TAR OIL H-4001 (4 COIL);T028D;M;Показания;;
30PI919A;PLC=10135/FLD=530(FLD);AI;PILOT FUEL GAS;P952;M;Показания;;
30XZSC023;PLC=1412/FLD=257(MOV);DI;"XV-023 ""100% CLOSED""";XV-023;M;Закрыт;;
30TI032C;PLC=10140/FLD=520(FLD);AI;TAR OIL H-3001 (1 COIL);T028A;M;Показания;;
30XSC002C;PLC=0/FLD=248(FLD);DI;30XV002 READY TO CLOSE;XV-002;M;Открыт;;
30XZSO096;PLC=1405/FLD=448(MOV);DI;"XV-096 ""OPENED""";XV-096;M;Открыт;;
30TI107;PLC=10143/FLD=434(FLD);AI;MED.-PRESS. WATER STEAM;T105;M;Показания;;
30HSXV054;PLC=1798/FLD=340(FLD);DI;30XV054 BUTTON FEED;XV-054_HS;HS->RSU;;#0;
00XS301E01P05;PLC=1792/FLD=18(CAB);DI;IB301 ESD-01 ALARM PS 05;;;;;
30TI890A;PLC=10437/FLD=283(FLD);AI;TEMP ISOLATION SHELL;;;;#=25;
30HS126AB;PLC=1358/FLD=237(FLD);DI;FIRE SD P-3026 P06 MA EN;30HS126A;HS->RSU;;#0;
30XL905B;PLC=1479/FLD=1178(LCP);DO;OUTPUT SUPPLY CLOSE;30XL905B;RSU->HS;;;
30HSXV074;PLC=1800/FLD=432(FLD);DI;30XV074 BUTTON FEED;XV-074_HS;HS->RSU;;#0;
30XL906A;PLC=1480/FLD=1180(LCP);DO;1ST BLOCK VALVE OPEN;30XL906A;RSU->HS;;;
30TI756A;PLC=10409/FLD=390(FLD);AI;P-3020 PUMP T. BEAR TEMP;;;;;
30XY075;PLC=1504/FLD=434(FLD);DO;MID WATER STEAM;XV-075;M;Соленоид;#0;
30HS018BB;PLC=1322/FLD=543(PNL);DI;REMOTE SHUTDOWN;30HS018B;HS->RSU;;#0;
30XZSC905;PLC=0/FLD=1122(FLD);DI;FUEL OIL RETURN;XV-905;M;Закрыт;#0;
30LSLL038;PLC=10106/FLD=363(FLD);AI;SUCT. P-3022A;L038;M;Заполнение;;
30XL942;PLC=1496/FLD=1170(LCP);DO;MAIN FG READY TO START;30XL942;RSU->HS;;;
30XA947G;PLC=1472/FLD=1162(LCP);DO;FUEL OIL TRIP;30XA947G;RSU->HS;;;
30HS123BB;PLC=1435/FLD=236(PNL);DI;SD AT FIRE P-3025 - T.05;30HS123B;HS->RSU;;#0;
30HS048BA;PLC=1250/FLD=240(FLD);DI;C-3001S EMERGENCY STOP;30HS048B;HS->RSU;;#0;
